45

d(1	14	18	5	200000.0)
d(2	21	23	4	200000.0)
d(3	22	22	3	200000.0)
d(4	20	23	1	200000.0)
d(5	4	17	2	200000.0)
d(6	7	7	5	200000.0)
d(7	11	18	4	200000.0)
d(8	19	21	3	200000.0)
d(9	13	15	3	200000.0)
d(10	6	6	4	200000.0)
d(11	12	21	2	200000.0)
d(12	4	18	5	200000.0)
d(13	11	15	4	200000.0)
d(14	20	23	3	200000.0)
d(15	23	24	2	200000.0)
d(16	24	24	5	200000.0)
d(17	10	11	5	200000.0)
d(18	14	21	2	200000.0)
d(19	1	22	5	200000.0)
d(20	8	20	4	200000.0)
d(21	21	24	2	200000.0)
d(22	9	13	2	200000.0)
d(23	1	7	3	200000.0)
d(24	18	23	1	200000.0)
d(25	10	10	5	200000.0)
d(26	2	13	5	200000.0)
d(27	11	22	5	200000.0)
d(28	4	21	5	200000.0)
d(29	23	24	5	200000.0)
d(30	11	11	4	200000.0)
d(31	5	18	4	200000.0)
d(32	1	17	2	200000.0)
d(33	20	23	2	200000.0)
d(34	17	19	3	200000.0)
d(35	5	11	3	200000.0)
d(36	8	24	5	200000.0)
d(37	5	13	1	200000.0)
d(38	19	19	5	200000.0)
d(39	16	22	2	200000.0)
d(40	17	19	4	200000.0)
d(41	6	23	2	200000.0)
d(42	19	19	4	200000.0)
d(43	22	22	5	200000.0)
d(44	8	12	3	200000.0)
d(45	22	24	2	200000.0)
v(16	4	14	46	28	4)
v(16	5	9	28	18	4)
v(17	1	25	51	50	3)
v(17	2	1	101	2	3)
v(17	3	18	27	36	4)
v(17	4	6	21	12	4)
v(17	5	4	137	8	4)
v(18	1	12	34	24	1)
v(18	2	30	174	60	1)
v(19	1	6	36	12	4)
v(19	2	17	34	34	4)
v(19	3	22	34	44	4)
v(19	4	6	88	12	4)
v(19	5	2	156	4	4)
v(20	1	31	110	62	3)
v(20	2	19	96	38	3)
v(20	3	20	162	40	3)
v(20	4	5	149	10	3)
v(21	1	22	135	44	1)
v(21	2	31	169	62	1)
v(22	1	6	76	12	1)
v(22	2	22	149	44	1)
v(23	1	16	154	32	2)
v(23	2	3	51	6	2)
v(23	3	10	30	20	2)
v(24	1	1	54	2	0)
v(25	1	1	41	2	4)
v(25	2	25	61	50	4)
v(25	3	9	152	18	4)
v(25	4	31	165	62	4)
v(25	5	18	83	36	4)
v(26	1	23	129	46	4)
v(26	2	11	104	22	4)
v(26	3	26	84	52	4)
v(26	4	32	162	64	4)
v(26	5	21	160	42	4)
v(27	1	25	102	50	2)
v(27	2	17	124	34	3)
v(27	3	10	13	20	4)
v(27	4	9	10	18	4)
v(27	5	20	48	40	3)
v(28	1	25	85	50	4)
v(28	2	3	149	6	4)
v(28	3	28	124	56	4)
v(28	4	5	105	10	4)
v(28	5	7	130	14	4)
v(29	1	14	158	28	4)
v(29	2	18	152	36	4)
v(29	3	29	48	58	4)
v(29	4	9	169	18	4)
v(29	5	31	106	62	4)
v(30	1	24	35	48	3)
v(30	2	16	20	32	2)
v(30	3	19	87	38	3)
v(30	4	23	64	46	2)
v(31	1	17	111	34	3)
v(31	2	26	109	52	2)
v(31	3	1	20	2	2)
v(31	4	16	99	32	3)
v(32	1	4	57	8	1)
v(32	2	28	122	56	1)
v(33	1	31	107	62	1)
v(33	2	28	127	56	1)
v(34	1	26	103	52	2)
v(34	2	25	134	50	2)
v(34	3	12	159	24	2)
v(35	1	3	25	6	2)
v(35	2	3	97	6	2)
v(35	3	10	160	20	2)
v(36	1	17	157	34	4)
v(36	2	10	89	20	4)
v(36	3	3	125	6	4)
v(36	4	20	65	40	4)
v(36	5	21	145	42	4)
v(37	1	32	56	64	0)
v(38	1	26	146	52	4)
v(38	2	5	59	10	4)
v(38	3	12	160	24	4)
v(38	4	15	135	30	4)
v(38	5	9	160	18	4)
v(39	1	16	174	32	1)
v(39	2	6	43	12	1)
v(40	1	5	158	10	3)
v(40	2	12	37	24	3)
v(40	3	18	149	36	3)
v(40	4	27	162	54	3)
v(41	1	2	109	4	1)
v(41	2	16	60	32	1)
v(42	1	1	85	2	3)
v(42	2	10	27	20	3)
v(42	3	17	62	34	3)
v(42	4	30	103	60	3)
v(43	1	21	154	42	4)
v(43	2	24	173	48	4)
v(43	3	12	114	24	4)
v(43	4	23	117	46	4)
v(43	5	15	105	30	4)
v(44	1	30	51	60	2)
v(44	2	30	89	60	2)
v(44	3	25	58	50	2)
v(45	1	25	167	50	1)
v(45	2	8	21	16	1)
e(1	1	2	100)
e(1	1	3	120)
e(1	1	4	50)
e(1	2	4	130)
e(1	3	4	140)
e(1	1	5	120)
e(1	2	5	80)
e(1	3	5	40)
e(1	4	5	110)
e(2	1	2	150)
e(2	1	3	120)
e(2	2	3	70)
e(2	1	4	130)
e(2	2	4	160)
e(2	3	4	120)
e(3	1	2	120)
e(3	1	3	90)
e(3	2	3	100)
e(5	1	2	160)
e(6	1	2	150)
e(6	1	3	60)
e(6	2	3	50)
e(6	1	4	150)
e(6	2	4	80)
e(6	3	4	70)
e(6	1	5	130)
e(6	2	5	160)
e(6	4	5	110)
e(7	1	3	100)
e(7	2	3	60)
e(7	1	4	20)
e(7	2	4	70)
e(7	3	4	80)
e(8	1	2	140)
e(8	1	3	90)
e(8	2	3	100)
e(9	1	2	50)
e(9	1	3	160)
e(9	2	3	130)
e(10	1	2	140)
e(10	1	3	10)
e(10	2	3	150)
e(10	2	4	100)
e(10	3	4	130)
e(11	1	2	70)
e(12	1	2	30)
e(12	2	3	150)
e(12	1	4	80)
e(12	2	4	120)
e(12	3	4	10)
e(12	1	5	130)
e(12	2	5	120)
e(12	3	5	30)
e(12	4	5	70)
e(13	1	2	20)
e(13	1	3	90)
e(13	2	3	150)
e(13	1	4	140)
e(13	2	4	150)
e(13	3	4	40)
e(14	1	2	50)
e(14	1	3	10)
e(14	2	3	30)
e(15	1	2	160)
e(16	1	2	10)
e(16	1	3	40)
e(16	2	3	60)
e(16	1	4	10)
e(16	2	4	120)
e(16	3	4	110)
e(16	1	5	150)
e(16	2	5	90)
e(16	3	5	140)
e(16	4	5	100)
e(17	1	3	40)
e(17	2	3	30)
e(17	1	4	130)
e(17	2	4	150)
e(17	3	4	60)
e(17	1	5	150)
e(17	2	5	70)
e(17	3	5	60)
e(17	4	5	30)
e(18	1	2	110)
e(19	1	2	110)
e(19	1	3	10)
e(19	2	3	40)
e(19	1	4	130)
e(19	2	4	100)
e(19	3	4	30)
e(19	1	5	60)
e(19	2	5	100)
e(19	3	5	80)
e(19	4	5	130)
e(20	1	2	150)
e(20	1	3	150)
e(20	2	3	20)
e(20	1	4	130)
e(20	2	4	150)
e(20	3	4	80)
e(21	1	2	140)
e(22	1	2	110)
e(23	1	2	80)
e(23	1	3	40)
e(23	2	3	30)
e(25	1	2	160)
e(25	1	3	160)
e(25	2	3	70)
e(25	1	4	140)
e(25	2	4	20)
e(25	3	4	160)
e(25	1	5	150)
e(25	2	5	140)
e(25	3	5	20)
e(25	4	5	100)
e(26	1	2	10)
e(26	1	3	90)
e(26	2	3	10)
e(26	1	4	160)
e(26	2	4	20)
e(26	3	4	90)
e(26	1	5	110)
e(26	2	5	50)
e(26	3	5	80)
e(26	4	5	50)
e(27	1	3	90)
e(27	2	3	160)
e(27	1	4	120)
e(27	2	4	70)
e(27	3	4	20)
e(27	2	5	160)
e(27	3	5	30)
e(27	4	5	20)
e(28	1	2	60)
e(28	1	3	20)
e(28	2	3	80)
e(28	1	4	80)
e(28	2	4	100)
e(28	3	4	150)
e(28	1	5	50)
e(28	2	5	160)
e(28	3	5	60)
e(28	4	5	20)
e(29	1	2	30)
e(29	1	3	10)
e(29	2	3	110)
e(29	1	4	80)
e(29	2	4	50)
e(29	3	4	60)
e(29	1	5	120)
e(29	2	5	100)
e(29	3	5	50)
e(29	4	5	120)
e(30	1	2	110)
e(30	1	3	120)
e(30	2	3	20)
e(30	1	4	20)
e(30	3	4	60)
e(31	1	2	130)
e(31	1	3	80)
e(31	1	4	120)
e(31	2	4	110)
e(31	3	4	120)
e(32	1	2	100)
e(33	1	2	120)
e(34	1	2	30)
e(34	1	3	130)
e(34	2	3	70)
e(35	1	2	80)
e(35	1	3	80)
e(35	2	3	60)
e(36	1	2	60)
e(36	1	3	30)
e(36	2	3	70)
e(36	1	4	70)
e(36	2	4	10)
e(36	3	4	60)
e(36	1	5	80)
e(36	2	5	130)
e(36	3	5	150)
e(36	4	5	160)
e(38	1	2	20)
e(38	1	3	150)
e(38	2	3	130)
e(38	1	4	140)
e(38	2	4	30)
e(38	3	4	80)
e(38	1	5	20)
e(38	2	5	150)
e(38	3	5	50)
e(38	4	5	150)
e(39	1	2	130)
e(40	1	2	140)
e(40	1	3	140)
e(40	2	3	120)
e(40	1	4	20)
e(40	2	4	30)
e(40	3	4	20)
e(41	1	2	150)
e(42	1	2	80)
e(42	1	3	150)
e(42	2	3	130)
e(42	1	4	150)
e(42	2	4	80)
e(42	3	4	130)
e(43	1	2	20)
e(43	1	3	50)
e(43	2	3	80)
e(43	1	4	50)
e(43	2	4	30)
e(43	3	4	40)
e(43	1	5	30)
e(43	2	5	40)
e(43	3	5	70)
e(43	4	5	110)
e(44	1	2	80)
e(44	1	3	50)
e(44	2	3	90)
e(45	1	2	30)


