60

d(1	22	23	3	200000.0)
d(2	23	23	1	200000.0)
d(3	7	15	1	200000.0)
d(4	5	8	2	200000.0)
d(5	22	23	2	200000.0)
d(6	5	20	2	200000.0)
d(7	5	10	4	200000.0)
d(8	10	13	4	200000.0)
d(9	1	23	3	200000.0)
d(10	18	19	2	200000.0)
d(11	13	22	2	200000.0)
d(12	19	19	2	200000.0)
d(13	3	16	5	200000.0)
d(14	4	4	3	200000.0)
d(15	14	24	4	200000.0)
d(16	10	15	1	200000.0)
d(17	2	11	3	200000.0)
d(18	11	16	2	200000.0)
d(19	23	23	4	200000.0)
d(20	6	19	4	200000.0)
d(21	21	23	5	200000.0)
d(22	24	24	1	200000.0)
d(23	13	15	4	200000.0)
d(24	10	15	2	200000.0)
d(25	19	23	2	200000.0)
d(26	18	22	5	200000.0)
d(27	5	12	1	200000.0)
d(28	4	11	3	200000.0)
d(29	15	24	1	200000.0)
d(30	16	17	5	200000.0)
d(31	6	6	3	200000.0)
d(32	14	20	2	200000.0)
d(33	19	20	3	200000.0)
d(34	20	23	1	200000.0)
d(35	7	10	5	200000.0)
d(36	4	9	1	200000.0)
d(37	14	21	2	200000.0)
d(38	15	15	4	200000.0)
d(39	21	22	4	200000.0)
d(40	5	17	2	200000.0)
d(41	2	2	4	200000.0)
d(42	9	20	5	200000.0)
d(43	4	10	5	200000.0)
d(44	16	17	2	200000.0)
d(45	13	15	1	200000.0)
d(46	24	24	3	200000.0)
d(47	17	20	3	200000.0)
d(48	11	22	5	200000.0)
d(49	19	21	2	200000.0)
d(50	2	3	5	200000.0)
d(51	13	19	2	200000.0)
d(52	14	18	2	200000.0)
d(53	10	12	1	200000.0)
d(54	7	19	2	200000.0)
d(55	15	18	4	200000.0)
d(56	16	24	2	200000.0)
d(57	2	21	3	200000.0)
d(58	24	24	4	200000.0)
d(59	23	23	3	200000.0)
d(60	13	19	5	200000.0)
v(24	1	12	83	24	1)
v(24	2	7	96	14	1)
v(25	1	31	82	62	1)
v(25	2	15	167	30	1)
v(26	1	24	60	48	4)
v(26	2	16	46	32	2)
v(26	3	10	14	20	3)
v(26	4	4	24	8	4)
v(26	5	22	45	44	3)
v(27	1	11	109	22	0)
v(28	1	16	136	32	2)
v(28	2	20	100	40	2)
v(28	3	19	71	38	2)
v(29	1	29	111	58	0)
v(30	1	25	130	50	4)
v(30	2	25	185	50	4)
v(30	3	24	182	48	3)
v(30	4	11	47	22	3)
v(30	5	18	178	36	2)
v(31	1	31	85	62	1)
v(31	2	32	142	64	2)
v(31	3	17	114	34	1)
v(32	1	28	135	56	1)
v(32	2	13	139	26	1)
v(33	1	22	173	44	1)
v(33	2	13	148	26	2)
v(33	3	21	156	42	1)
v(34	1	6	45	12	0)
v(35	1	16	67	32	4)
v(35	2	22	43	44	4)
v(35	3	16	145	32	4)
v(35	4	14	98	28	4)
v(35	5	31	32	62	4)
v(36	1	16	173	32	0)
v(37	1	21	152	42	1)
v(37	2	30	84	60	1)
v(38	1	26	50	52	3)
v(38	2	30	35	60	3)
v(38	3	19	173	38	3)
v(38	4	6	90	12	3)
v(39	1	6	32	12	3)
v(39	2	20	179	40	3)
v(39	3	25	36	50	3)
v(39	4	31	125	62	3)
v(40	1	12	36	24	1)
v(40	2	32	179	64	1)
v(41	1	25	139	50	2)
v(41	2	19	137	38	1)
v(41	3	19	117	38	3)
v(41	4	12	62	24	2)
v(42	1	5	117	10	4)
v(42	2	3	79	6	3)
v(42	3	22	181	44	3)
v(42	4	20	133	40	3)
v(42	5	16	83	32	3)
v(43	1	12	119	24	4)
v(43	2	4	145	8	4)
v(43	3	26	77	52	4)
v(43	4	23	117	46	4)
v(43	5	9	118	18	4)
v(44	1	26	28	52	1)
v(44	2	10	12	20	1)
v(45	1	24	93	48	0)
v(46	1	14	21	28	1)
v(46	2	24	126	48	2)
v(46	3	22	139	44	1)
v(47	1	31	187	62	2)
v(47	2	1	90	2	2)
v(47	3	4	33	8	2)
v(48	1	29	173	58	4)
v(48	2	32	79	64	4)
v(48	3	12	141	24	4)
v(48	4	15	21	30	4)
v(48	5	2	159	4	4)
v(49	1	13	64	26	1)
v(49	2	15	83	30	1)
v(50	1	29	58	58	4)
v(50	2	12	59	24	3)
v(50	3	32	49	64	2)
v(50	4	18	83	36	3)
v(50	5	20	67	40	2)
v(51	1	24	118	48	1)
v(51	2	24	33	48	1)
v(52	1	20	146	40	1)
v(52	2	17	85	34	1)
v(53	1	9	52	18	0)
v(54	1	17	39	34	1)
v(54	2	20	46	40	1)
v(55	1	19	149	38	3)
v(55	2	1	21	2	3)
v(55	3	27	83	54	3)
v(55	4	23	118	46	3)
v(56	1	26	131	52	1)
v(56	2	5	98	10	1)
v(57	1	1	34	2	2)
v(57	2	18	54	36	2)
v(57	3	15	129	30	2)
v(58	1	2	50	4	3)
v(58	2	32	47	64	3)
v(58	3	30	115	60	3)
v(58	4	14	92	28	3)
v(59	1	28	177	56	2)
v(59	2	2	86	4	2)
v(59	3	7	134	14	2)
v(60	1	12	106	24	4)
v(60	2	30	185	60	4)
v(60	3	6	145	12	3)
v(60	4	5	42	10	3)
v(60	5	12	17	24	4)
e(1	1	2	100)
e(1	1	3	10)
e(1	2	3	130)
e(4	1	2	90)
e(5	1	2	10)
e(6	1	2	110)
e(7	1	2	150)
e(7	1	3	30)
e(7	2	3	80)
e(7	1	4	120)
e(7	2	4	150)
e(7	3	4	70)
e(8	1	2	110)
e(8	1	3	40)
e(8	2	3	50)
e(8	1	4	140)
e(8	2	4	20)
e(8	3	4	60)
e(9	1	2	70)
e(9	1	3	70)
e(9	2	3	60)
e(10	1	2	150)
e(11	1	2	20)
e(12	1	2	160)
e(13	1	2	120)
e(13	1	3	30)
e(13	2	3	30)
e(13	1	4	160)
e(13	2	4	140)
e(13	3	4	130)
e(13	2	5	10)
e(13	3	5	150)
e(13	4	5	110)
e(14	2	3	130)
e(15	1	2	150)
e(15	1	3	130)
e(15	1	4	160)
e(15	2	4	20)
e(15	3	4	40)
e(17	1	2	160)
e(17	1	3	140)
e(17	2	3	160)
e(18	1	2	120)
e(19	1	2	120)
e(19	1	3	100)
e(19	2	3	110)
e(19	1	4	90)
e(19	2	4	30)
e(19	3	4	40)
e(20	1	2	140)
e(20	1	3	10)
e(20	2	3	90)
e(20	1	4	40)
e(20	2	4	150)
e(20	3	4	140)
e(21	1	2	120)
e(21	1	3	120)
e(21	2	3	140)
e(21	1	4	80)
e(21	2	4	100)
e(21	1	5	140)
e(21	2	5	70)
e(21	3	5	90)
e(21	4	5	70)
e(23	1	2	120)
e(23	1	3	120)
e(23	2	3	100)
e(23	2	4	120)
e(23	3	4	120)
e(24	1	2	100)
e(25	1	2	110)
e(26	1	2	140)
e(26	1	3	80)
e(26	1	4	20)
e(26	2	4	20)
e(26	3	4	90)
e(26	1	5	40)
e(26	3	5	60)
e(26	4	5	10)
e(28	1	2	110)
e(28	1	3	70)
e(28	2	3	30)
e(30	1	2	140)
e(30	1	3	90)
e(30	2	3	20)
e(30	1	4	90)
e(30	2	4	90)
e(30	3	4	50)
e(30	1	5	60)
e(30	2	5	150)
e(31	1	2	20)
e(31	2	3	20)
e(32	1	2	120)
e(33	1	2	160)
e(33	2	3	40)
e(35	1	2	130)
e(35	1	3	100)
e(35	2	3	20)
e(35	1	4	160)
e(35	2	4	30)
e(35	3	4	160)
e(35	1	5	60)
e(35	2	5	30)
e(35	3	5	80)
e(35	4	5	160)
e(37	1	2	120)
e(38	1	2	40)
e(38	1	3	150)
e(38	2	3	150)
e(38	1	4	40)
e(38	2	4	130)
e(38	3	4	10)
e(39	1	2	90)
e(39	1	3	60)
e(39	2	3	150)
e(39	1	4	160)
e(39	2	4	150)
e(39	3	4	70)
e(40	1	2	60)
e(41	1	3	90)
e(41	2	3	90)
e(41	1	4	50)
e(41	3	4	10)
e(42	1	2	20)
e(42	1	3	20)
e(42	2	3	140)
e(42	1	4	90)
e(42	3	4	50)
e(42	1	5	100)
e(42	2	5	30)
e(42	4	5	20)
e(43	1	2	20)
e(43	1	3	10)
e(43	2	3	30)
e(43	1	4	20)
e(43	2	4	130)
e(43	3	4	160)
e(43	1	5	10)
e(43	2	5	20)
e(43	3	5	150)
e(43	4	5	140)
e(44	1	2	60)
e(46	1	2	40)
e(46	2	3	90)
e(47	1	2	40)
e(47	1	3	60)
e(47	2	3	100)
e(48	1	2	10)
e(48	1	3	160)
e(48	2	3	160)
e(48	1	4	70)
e(48	2	4	30)
e(48	3	4	100)
e(48	1	5	20)
e(48	2	5	140)
e(48	3	5	90)
e(48	4	5	60)
e(49	1	2	20)
e(50	1	2	160)
e(50	1	3	120)
e(50	1	4	160)
e(50	2	4	70)
e(50	3	4	160)
e(50	1	5	80)
e(50	2	5	90)
e(51	1	2	110)
e(52	1	2	110)
e(54	1	2	40)
e(55	1	2	160)
e(55	1	3	80)
e(55	2	3	90)
e(55	1	4	60)
e(55	2	4	100)
e(55	3	4	140)
e(56	1	2	10)
e(57	1	2	130)
e(57	1	3	100)
e(57	2	3	20)
e(58	1	2	20)
e(58	1	3	130)
e(58	2	3	130)
e(58	1	4	90)
e(58	2	4	140)
e(58	3	4	90)
e(59	1	2	110)
e(59	1	3	90)
e(59	2	3	50)
e(60	1	2	40)
e(60	1	3	160)
e(60	2	3	150)
e(60	1	4	160)
e(60	2	4	40)
e(60	1	5	120)
e(60	2	5	70)
e(60	3	5	70)
e(60	4	5	40)


